Municipio,Conf,factor_densidad,Año,factor_pods
Acacias,2,0.7,2,0.947738815
Acacias,2,0.7,3,0.963017766
Acacias,2,0.7,4,0.944654387
Acacias,2,0.7,5,0.95704903
Acacias,2,0.8,2,0.967569528
Acacias,2,0.8,3,0.974704313
Acacias,2,0.8,4,0.962115458
Acacias,2,0.8,5,0.971141999
Acacias,2,0.9,2,0.986299879
Acacias,2,0.9,3,0.988514772
Acacias,2,0.9,4,0.980535511
Acacias,2,0.9,5,0.985173871
Acacias,2,1,2,1
Acacias,2,1,3,1
Acacias,2,1,4,1
Acacias,2,1,5,1
Acacias,2,1.1,2,1.012333736
Acacias,2,1.1,3,1.009411646
Acacias,2,1.1,4,1.014337258
Acacias,2,1.1,5,1.014092969
Acacias,2,1.2,2,1.020157195
Acacias,2,1.2,3,1.018370326
Acacias,2,1.2,4,1.026585644
Acacias,2,1.2,5,1.026933456
Acacias,2,1.3,2,1.004147521
Acacias,2,1.3,3,1.020786149
Acacias,2,1.3,4,1.036650209
Acacias,2,1.3,5,1.037829031
Acacias,3,0.7,2,0.945515709
Acacias,3,0.7,3,0.967265201
Acacias,3,0.7,4,0.95468114
Acacias,3,0.7,5,0.961006982
Acacias,3,0.8,2,0.965867724
Acacias,3,0.8,3,0.977655886
Acacias,3,0.8,4,0.97131227
Acacias,3,0.8,5,0.973370875
Acacias,3,0.9,2,0.984501712
Acacias,3,0.9,3,0.989019405
Acacias,3,0.9,4,0.986528397
Acacias,3,0.9,5,0.987708836
Acacias,3,1,2,1
Acacias,3,1,3,1
Acacias,3,1,4,1
Acacias,3,1,5,1
Acacias,3,1.1,2,1.012326545
Acacias,3,1.1,3,1.007068564
Acacias,3,1.1,4,1.013277767
Acacias,3,1.1,5,1.013506774
Acacias,3,1.2,2,1.020460143
Acacias,3,1.2,3,1.013433376
Acacias,3,1.2,4,1.024520256
Acacias,3,1.2,5,1.024468041
Acacias,3,1.3,2,1.000865021
Acacias,3,1.3,3,1.009759379
Acacias,3,1.3,4,1.033145959
Acacias,3,1.3,5,1.034130579
Acacias,4,0.7,2,0.905951116
Acacias,4,0.7,3,0.938279034
Acacias,4,0.7,4,0.949369232
Acacias,4,0.7,5,0.950459179
Acacias,4,0.8,2,0.938983351
Acacias,4,0.8,3,0.958394223
Acacias,4,0.8,4,0.965963932
Acacias,4,0.8,5,0.966214508
Acacias,4,0.9,2,0.97130712
Acacias,4,0.9,3,0.981174246
Acacias,4,0.9,4,0.983574634
Acacias,4,0.9,5,0.983065128
Acacias,4,1,2,1
Acacias,4,1,3,1
Acacias,4,1,4,1
Acacias,4,1,5,1
Acacias,4,1.1,2,1.022670917
