"","Fecha","Irradiacion","Temperatura_minima","Temperatura_maxima","Presion_de_vapor","Precipitacion","Dias_con_lluvia"
"54","2004-06",15.27336,20.56,28.74,31.0599417410374,655.8,26
"55","2004-07",15.68916,20.4096774193548,29.2322580645161,31.0186719514156,574.7,30
"56","2004-08",16.50672,20.741935483871,29.9354838709677,32.3284501629452,374.7,27
"57","2004-09",18.95292,20.7966666666667,30.3933333333333,32.5885653423803,428.1,22
"58","2004-10",18.37224,21.258064516129,31.0645161290323,33.0142943355133,383.6,23
"59","2004-11",17.34228,21.46,30.8666666666667,33.2853830712925,391,22
"60","2004-12",17.73,21.6516129032258,30.8612903225806,33.6759017168518,336.5,18
"61","2005-01",18.74664,21.6225806451613,31.7258064516129,33.7610754806718,95.9,11
"62","2005-02",17.0694,22.3214285714286,31.8,34.3080993176194,278.9,12
"63","2005-03",15.75324,22.558064516129,32.4774193548387,35.2601658898975,246.8,20
"64","2005-04",15.86376,21.8566666666667,30.1666666666667,32.6945556992342,594.1,28
"65","2005-05",15.91956,21.7193548387097,30.3612903225806,32.4953520637326,780.3,27
"66","2005-06",15.27336,21.1033333333333,29.6966666666667,31.1385250283071,588.8,29
"67","2005-07",15.68916,20.6903225806452,29.0741935483871,30.1061544070871,561.5,27
"68","2005-08",16.50672,20.8935483870968,29.7161290322581,32.2449242733722,394.5,26
"69","2005-09",18.95292,21.2133333333333,30.6266666666667,33.1350905389676,350.7,24
"70","2005-10",18.37224,21.2064516129032,31.3483870967742,33.9306840328379,531.3,26
"71","2005-11",17.34228,21.42,30.4733333333333,32.9610954615645,609.9,25
"72","2005-12",17.73,21.2806451612903,31.541935483871,34.7173417326432,139,11
"73","2006-01",18.74664,21.4225806451613,31.3516129032258,NA,141.5,17
"74","2006-02",17.0694,22.1321428571429,31.7464285714286,NA,34.4,8
"75","2006-03",15.75324,21.9709677419355,30.5387096774194,NA,395.9,26
"76","2006-04",15.86376,21.7733333333333,30.57,NA,486.6,27
"77","2006-05",15.91956,20.9935483870968,28.7290322580645,NA,754.4,24
