"","Fecha","Municipio","precipitacion","dias_lluvia"
"742","2021-03","Villavicencio",112.1,13
"743","2021-04","Acacías",914,23
"744","2021-04","Cubarral",1045,27
"745","2021-04","Villavicencio",532.6,20
"746","2021-05","Acacías",772,22
"747","2021-05","Cubarral",946,30
"748","2021-05","Villavicencio",483.2,17
"749","2021-06","Acacías",739,23
"750","2021-06","Cubarral",863,29
"751","2021-06","Villavicencio",650.7,25
"752","2021-07","Acacías",657,22
"753","2021-07","Cubarral",525,31
"754","2021-07","Villavicencio",487.5,23
"755","2021-08","Acacías",500,20
"756","2021-08","Cubarral",692,23
"757","2021-08","Villavicencio",476.7,23
"758","2021-09","Acacías",353,16
"759","2021-09","Cubarral",461,19
"760","2021-09","Villavicencio",183.2,17
