"","Fecha","Municipio","precipitacion","dias_lluvia"
"170","2005-02","Acacías",224,10
"171","2005-02","Cubarral",323,14
"172","2005-02","Villavicencio",278.9,12
"173","2005-03","Acacías",221,13
"174","2005-03","Cubarral",384,17
"175","2005-03","Villavicencio",246.8,20
"176","2005-04","Acacías",545,24
"177","2005-04","Cubarral",867,27
"178","2005-04","Villavicencio",594.1,28
"179","2005-05","Acacías",883,27
"180","2005-05","Cubarral",1155,27
"181","2005-05","Villavicencio",780.3,27
"182","2005-06","Acacías",512,25
"183","2005-06","Cubarral",607,29
"184","2005-06","Villavicencio",588.8,29
"185","2005-07","Acacías",519,21
"186","2005-07","Cubarral",474,25
"187","2005-07","Villavicencio",561.5,27
"188","2005-08","Acacías",372,20
"189","2005-08","Cubarral",435,23
"190","2005-08","Villavicencio",394.5,26
"191","2005-09","Acacías",303,18
"192","2005-09","Cubarral",455,24
"193","2005-09","Villavicencio",350.7,24
"194","2005-10","Acacías",630,23
"195","2005-10","Cubarral",652,24
"196","2005-10","Villavicencio",531.3,26
"197","2005-11","Acacías",498,25
"198","2005-11","Cubarral",681,26
"199","2005-11","Villavicencio",609.9,25
"200","2005-12","Acacías",86,7
"201","2005-12","Cubarral",379,15
"202","2005-12","Villavicencio",139,11
"203","2006-01","Acacías",223.5,14
"204","2006-01","Cubarral",480,21
"205","2006-01","Villavicencio",141.5,17
"206","2006-02","Acacías",22,7
"207","2006-02","Cubarral",259,10
"208","2006-02","Villavicencio",34.4,8
"209","2006-03","Acacías",695,20
"210","2006-03","Cubarral",988,24
"211","2006-03","Villavicencio",395.9,26
"212","2006-04","Acacías",559,23
"213","2006-04","Cubarral",733,27
"214","2006-04","Villavicencio",486.6,27
"215","2006-05","Acacías",682,22
"216","2006-05","Cubarral",506,27
"217","2006-05","Villavicencio",754.4,24
"218","2006-06","Acacías",477,24
"219","2006-06","Cubarral",661,27
"220","2006-06","Villavicencio",472,27
"221","2006-07","Acacías",343,23
"222","2006-07","Cubarral",561,29
"223","2006-07","Villavicencio",347.3,30
"224","2006-08","Acacías",333,17
"225","2006-08","Cubarral",563,21
"226","2006-08","Villavicencio",343.3,24
"227","2006-09","Acacías",444,18
"228","2006-09","Cubarral",486,16
"229","2006-09","Villavicencio",293.4,19
"230","2006-10","Acacías",441,20
"231","2006-10","Cubarral",714,25
"232","2006-10","Villavicencio",683.4,25
"233","2006-11","Acacías",776,21
"234","2006-11","Villavicencio",599,23
"235","2006-12","Acacías",210,11
"236","2006-12","Villavicencio",153.1,15
"237","2007-01","Acacías",12,5
"238","2007-01","Cubarral",165,13
"239","2007-01","Villavicencio",14.6,6
"240","2007-02","Acacías",13,4
"241","2007-02","Cubarral",12,4
"242","2007-02","Villavicencio",10,4
"243","2007-03","Acacías",284,16
"244","2007-03","Cubarral",603,21
"245","2007-03","Villavicencio",409.6,14
"246","2007-04","Acacías",667,22
"247","2007-04","Cubarral",1026,29
"248","2007-04","Villavicencio",382.8,25
"249","2007-05","Acacías",659,25
"250","2007-05","Cubarral",632,25
"251","2007-05","Villavicencio",753.6,28
"252","2007-06","Acacías",639,28
"253","2007-06","Cubarral",828,28
"254","2007-06","Villavicencio",581.7,27
"255","2007-07","Acacías",408,22
"256","2007-07","Cubarral",298,20
"257","2007-07","Villavicencio",385.6,25
"258","2007-08","Acacías",329,21
"259","2007-08","Cubarral",383,24
"260","2007-08","Villavicencio",484.1,25
"261","2007-09","Acacías",280,15
"262","2007-09","Cubarral",526,17
"263","2007-09","Villavicencio",324.6,25
"264","2007-10","Acacías",424,17
"265","2007-10","Cubarral",634,24
